,id,investor_id,investment_id,fees_amount,date_added,fees_type
0,1,1,24,14498,2019-05-28 04:45:13+00:00,yearly
1,2,1,27,28536,2017-09-25 04:34:36+00:00,yearly
2,3,1,91,26635,2017-03-13 11:58:17+00:00,yearly
3,4,2,28,14901,2019-08-25 10:28:04+00:00,yearly
4,5,2,48,45500,2020-11-14 23:31:22+00:00,upfront
5,6,2,50,606,2021-01-25 03:21:32+00:00,yearly
6,7,2,53,25000,2019-04-12 03:28:20+00:00,upfront
7,8,2,87,44000,2019-08-01 04:08:31+00:00,upfront
8,9,3,7,37100,2017-05-25 21:00:40+00:00,upfront
9,10,3,14,424,2020-09-21 21:50:25+00:00,yearly
10,11,3,63,16732,2018-11-24 10:21:37+00:00,yearly
11,12,3,86,3018,2020-11-01 20:11:56+00:00,yearly
12,13,3,88,27027,2017-07-08 17:09:25+00:00,yearly
13,14,4,19,53900,2018-02-07 04:17:09+00:00,upfront
14,15,4,20,15258,2019-05-14 08:28:44+00:00,yearly
15,16,4,30,27125,2018-02-25 04:30:06+00:00,yearly
16,17,5,6,41000,2019-09-10 20:29:39+00:00,upfront
17,18,5,57,13176,2019-05-11 05:58:59+00:00,yearly
18,19,6,9,37500,2020-05-22 15:17:23+00:00,upfront
19,20,6,29,26277,2018-04-10 07:27:06+00:00,yearly
20,21,6,90,30500,2021-02-02 01:18:25+00:00,upfront
21,22,7,15,46800,2018-03-14 11:23:03+00:00,upfront
22,23,7,61,33000,2019-09-08 18:59:21+00:00,upfront
23,24,7,62,36149,2017-11-27 10:40:03+00:00,yearly
24,25,7,92,17715,2017-10-24 21:11:05+00:00,yearly
25,26,8,11,61500,2017-08-28 05:54:03+00:00,upfront
26,27,8,39,8135,2019-09-16 21:39:34+00:00,yearly
27,28,8,40,25407,2017-07-12 06:47:20+00:00,yearly
28,29,8,42,35200,2018-08-10 04:20:25+00:00,upfront
29,30,9,4,57200,2018-11-29 12:16:42+00:00,upfront
30,31,9,37,25994,2018-03-16 03:56:05+00:00,yearly
31,32,9,47,31584,2017-05-18 19:54:12+00:00,yearly
32,33,9,65,35714,2017-07-08 09:09:47+00:00,yearly
33,34,9,74,8837,2020-03-21 14:33:52+00:00,yearly
34,35,9,75,26000,2020-07-25 20:53:42+00:00,upfront
35,36,9,76,48300,2019-05-25 14:03:54+00:00,upfront
36,37,10,16,31200,2017-03-30 12:30:04+00:00,upfront
37,38,10,51,61500,2019-12-31 13:51:29+00:00,upfront
38,39,10,89,39200,2017-03-17 22:36:54+00:00,upfront
39,40,10,98,44550,2019-05-06 15:05:09+00:00,upfront
40,41,10,100,25986,2019-09-06 19:58:40+00:00,yearly
41,42,11,12,53900,2020-03-30 11:35:06+00:00,upfront
42,43,11,22,32250,2018-09-30 23:36:18+00:00,upfront
43,44,11,36,57000,2017-03-16 17:47:29+00:00,upfront
44,45,11,77,31800,2019-12-07 10:29:57+00:00,upfront
45,46,11,85,44200,2017-11-06 01:55:22+00:00,upfront
46,47,12,2,48750,2020-01-19 16:01:26+00:00,upfront
47,48,12,3,17219,2019-05-17 19:28:18+00:00,yearly
48,49,12,21,48300,2020-05-05 21:39:02+00:00,upfront
49,50,12,25,38250,2019-07-09 08:24:12+00:00,upfront
50,51,12,35,38000,2019-01-16 01:28:07+00:00,upfront
51,52,12,43,57000,2020-07-26 13:11:44+00:00,upfront
52,53,12,44,29000,2019-07-30 03:03:22+00:00,upfront
53,54,12,46,13726,2020-04-24 20:32:43+00:00,yearly
54,55,12,64,65000,2017-02-17 23:15:07+00:00,upfront
55,56,12,67,46200,2020-08-23 21:19:18+00:00,upfront
56,57,12,93,32400,2021-02-05 17:27:03+00:00,upfront
57,58,13,52,69750,2018-04-19 04:05:58+00:00,upfront
58,59,13,73,33388,2017-11-21 10:53:26+00:00,yearly
59,60,13,79,33150,2018-09-24 14:20:01+00:00,upfront
60,61,14,10,8373,2020-06-05 04:40:06+00:00,yearly
61,62,14,17,29760,2017-08-28 13:51:23+00:00,yearly
62,63,14,26,17275,2018-07-29 10:48:41+00:00,yearly
63,64,14,34,9012,2019-11-16 13:42:56+00:00,yearly
64,65,14,80,63700,2020-06-23 19:03:49+00:00,upfront
65,66,14,82,52800,2019-01-18 23:14:05+00:00,upfront
66,67,15,45,29037,2018-02-23 12:55:54+00:00,yearly
67,68,15,68,48000,2020-08-03 12:23:46+00:00,upfront
68,69,15,71,36823,2017-03-17 14:57:46+00:00,yearly
69,70,15,97,69300,2020-06-07 23:34:37+00:00,upfront
70,71,16,13,26440,2017-12-22 23:54:34+00:00,yearly
71,72,16,18,13518,2020-07-31 10:04:10+00:00,yearly
72,73,16,23,8893,2020-06-28 01:30:41+00:00,yearly
73,74,16,38,9949,2019-10-23 09:02:49+00:00,yearly
74,75,16,49,43550,2017-05-23 03:12:01+00:00,upfront
75,76,17,8,41800,2020-02-16 18:25:30+00:00,upfront
76,77,17,55,7808,2020-05-25 15:54:08+00:00,yearly
77,78,17,60,21113,2019-01-11 17:34:41+00:00,yearly
78,79,17,83,30529,2017-07-14 22:30:16+00:00,yearly
79,80,17,84,36850,2018-09-12 00:13:41+00:00,upfront
80,81,17,96,345,2020-12-14 14:21:02+00:00,yearly
81,82,18,32,3259,2020-09-20 03:09:19+00:00,yearly
82,83,18,41,34500,2017-11-09 08:33:34+00:00,upfront
83,84,18,56,40500,2020-08-20 07:05:46+00:00,upfront
84,85,18,58,25550,2019-08-27 15:35:02+00:00,upfront
85,86,18,59,27426,2017-02-21 21:33:27+00:00,yearly
86,87,18,69,31200,2018-12-29 05:30:25+00:00,upfront
87,88,18,81,51800,2020-11-19 11:44:49+00:00,upfront
88,89,18,95,6411,2019-09-29 08:59:01+00:00,yearly
89,90,19,1,60750,2021-01-15 15:38:21+00:00,upfront
90,91,19,5,32796,2018-06-29 00:41:33+00:00,yearly
91,92,19,31,605,2020-09-20 03:08:26+00:00,yearly
92,93,19,70,32400,2020-09-10 11:47:16+00:00,upfront
93,94,19,72,7570,2020-08-23 11:38:41+00:00,yearly
94,95,20,33,7180,2019-12-25 10:48:58+00:00,yearly
95,96,20,54,50400,2017-04-01 03:05:58+00:00,upfront
96,97,20,66,34926,2017-08-07 12:08:15+00:00,yearly
97,98,20,78,7910,2020-01-10 22:32:54+00:00,yearly
98,99,20,94,11928,2019-11-21 16:58:13+00:00,yearly
99,100,20,99,147,2020-11-05 14:32:10+00:00,yearly
